season,week,celebrity_name,is_eliminated_this_week,normalized_score,score_z_score,score_improvement,prev_avg_score,score_consistency,judge_variance,judge_rank,judge_share,judge_contribution,voting_scheme,industry_category,is_athlete,is_actor,is_singer,is_reality,age_group,is_us_celebrity,partner_avg_rank,partner_seasons_count,weeks_survived,contestants_remaining,season_progress
1,1,Evander Holyfield,False,0.6,-0.06140634384863414,0.0,,0.0,1.0,4.0,0.1651376146788991,-4.0,rank_based,Sports,0,0,0,0,40-50,True,7.495238095238095,11,1,6,0.16666666666666666
1,2,Evander Holyfield,False,0.4666666666666667,-1.3870232926631425,-0.1333333333333333,0.6,0.0,0.5773502691896258,6.0,0.11570247933884298,-6.0,rank_based,Sports,0,0,0,0,40-50,True,7.495238095238095,11,2,6,0.3333333333333333
1,3,Evander Holyfield,True,0.43333333333333335,-1.649929455000344,-0.033333333333333326,0.5333333333333333,0.09428090415820632,0.5773502691896258,5.0,0.12264150943396226,-5.0,rank_based,Sports,0,0,0,0,40-50,True,7.495238095238095,11,3,5,0.5
1,4,Evander Holyfield,False,,,0.0,0.5,0.08819171036881966,0.0,5.0,0.0,-5.0,rank_based,Sports,0,0,0,0,40-50,True,7.495238095238095,11,4,4,0.6666666666666666
1,5,Evander Holyfield,False,,,0.0,0.5,0.08819171036881966,0.0,4.0,0.0,-4.0,rank_based,Sports,0,0,0,0,40-50,True,7.495238095238095,11,5,3,0.8333333333333334
1,6,Evander Holyfield,False,,,0.0,0.5,0.08819171036881966,0.0,3.0,0.0,-3.0,rank_based,Sports,0,0,0,0,40-50,True,7.495238095238095,11,6,2,1.0
1,1,Joey McIntyre,False,0.6666666666666666,0.6754697823349779,0.0,,0.0,0.5773502691896258,1.0,0.1834862385321101,-1.0,rank_based,Music,0,0,0,0,30-40,True,7.764705882352941,4,1,6,0.16666666666666666
1,2,Joey McIntyre,False,0.7,0.18743558008961397,0.033333333333333326,0.6666666666666666,0.0,1.0,3.0,0.17355371900826447,-3.0,rank_based,Music,0,0,0,0,30-40,True,7.764705882352941,4,2,6,0.3333333333333333
1,3,Joey McIntyre,False,0.7333333333333333,0.16096872731710643,0.033333333333333326,0.6833333333333333,0.02357022603955154,0.5773502691896258,3.0,0.20754716981132076,-3.0,rank_based,Music,0,0,0,0,30-40,True,7.764705882352941,4,3,5,0.5
1,4,Joey McIntyre,False,0.6666666666666666,-1.0190493307301367,-0.06666666666666665,0.6999999999999998,0.0333333333333333,0.5773502691896258,4.0,0.21739130434782608,-4.0,rank_based,Music,0,0,0,0,30-40,True,7.764705882352941,4,4,4,0.6666666666666666
1,5,Joey McIntyre,False,0.75,-0.7758801774444566,0.08333333333333337,0.6916666666666667,0.031914236925211246,0.8660254037844386,3.0,0.3082191780821918,-3.0,rank_based,Music,0,0,0,0,30-40,True,7.764705882352941,4,5,3,0.8333333333333334
1,6,Joey McIntyre,False,,,0.0,0.7033333333333334,0.03800584750330458,0.0,3.0,0.0,-3.0,rank_based,Music,0,0,0,0,30-40,True,7.764705882352941,4,6,2,1.0
1,1,John O'Hurley,False,0.6666666666666666,0.6754697823349779,0.0,,0.0,0.5773502691896258,1.0,0.1834862385321101,-1.0,rank_based,Entertainment,0,1,0,0,40-50,True,2.0,1,1,6,0.16666666666666666
1,2,John O'Hurley,False,0.8666666666666667,1.3120490606272979,0.20000000000000007,0.6666666666666666,0.0,0.5773502691896257,1.0,0.21487603305785125,-1.0,rank_based,Entertainment,0,1,0,0,40-50,True,2.0,1,2,6,0.3333333333333333
1,3,John O'Hurley,False,0.8,0.5633905456098739,-0.06666666666666665,0.7666666666666666,0.1414213562373096,1.0,2.0,0.22641509433962265,-2.0,rank_based,Entertainment,0,1,0,0,40-50,True,2.0,1,3,5,0.5
