season,week,celebrity_name,n_active,is_eliminated_this_week,R_judge_rank,R_fan_rank,R_total_score,R_is_elim,P_judge_share,P_fan_share,P_total_score,P_is_elim,delta_status
1,1,Evander Holyfield,6,False,4.0,5.0,9.0,False,0.1651376146788991,0.16654662925153615,0.3316842439304353,False,0
1,1,Joey McIntyre,6,False,1.0,1.0,2.0,False,0.1834862385321101,0.16686270120212118,0.3503489397342313,False,0
1,1,John O'Hurley,6,False,1.0,2.0,3.0,False,0.1834862385321101,0.16681865526332357,0.35030489379543367,False,0
1,1,Kelly Monaco,6,False,6.0,3.0,9.0,False,0.11926605504587157,0.16676661596143463,0.2860326710073062,True,-1
1,1,Rachel Hunter,6,False,1.0,4.0,5.0,False,0.1834862385321101,0.16660659683158344,0.3500928353636935,False,0
1,1,Trista Sutter,6,False,4.0,6.0,10.0,True,0.1651376146788991,0.16639880149000097,0.33153641616890006,False,1
1,2,Evander Holyfield,6,False,6.0,1.0,7.0,False,0.11570247933884298,0.23544058943570104,0.35114306877454404,False,0
1,2,Joey McIntyre,6,False,3.0,3.0,6.0,False,0.17355371900826447,0.16385320688919283,0.3374069258974573,False,0
1,2,John O'Hurley,6,False,1.0,5.0,6.0,False,0.21487603305785125,0.15340894150886591,0.36828497456671716,False,0
1,2,Kelly Monaco,6,False,5.0,2.0,7.0,False,0.14049586776859505,0.19955470712376402,0.34005057489235907,False,0
1,2,Rachel Hunter,6,False,2.0,4.0,6.0,False,0.19834710743801653,0.15479631215445303,0.35314341959246953,False,0
1,2,Trista Sutter,6,True,4.0,6.0,10.0,True,0.15702479338842976,0.09294624288802328,0.24997103627645303,True,0
1,3,Evander Holyfield,5,True,5.0,5.0,10.0,True,0.12264150943396226,0.15445745009136877,0.27709895952533103,True,0
1,3,Joey McIntyre,5,False,3.0,2.0,5.0,False,0.20754716981132076,0.2085359646101204,0.4160831344214412,False,0
1,3,John O'Hurley,5,False,2.0,3.0,5.0,False,0.22641509433962265,0.20314707544844549,0.42956216978806816,False,0
1,3,Kelly Monaco,5,False,4.0,1.0,5.0,False,0.19811320754716982,0.23255526877554933,0.43066847632271915,False,0
1,3,Rachel Hunter,5,False,1.0,4.0,5.0,False,0.24528301886792453,0.2013042410745161,0.44658725994244064,False,0
1,4,Joey McIntyre,4,False,4.0,1.0,5.0,False,0.21739130434782608,0.4130792076435934,0.6304705119914195,False,0
1,4,John O'Hurley,4,False,3.0,2.0,5.0,False,0.22826086956521738,0.2768952734840189,0.5051561430492363,False,0
1,4,Kelly Monaco,4,False,1.0,3.0,4.0,False,0.2826086956521739,0.18560845246885851,0.46821714812103243,False,0
1,4,Rachel Hunter,4,True,2.0,4.0,6.0,True,0.2717391304347826,0.12441706640352905,0.39615619683831166,True,0
1,5,Joey McIntyre,3,False,3.0,1.0,4.0,False,0.3082191780821918,0.3355369316406089,0.6437561097228006,True,-1
1,5,John O'Hurley,3,False,1.0,2.0,3.0,False,0.3698630136986301,0.3323710714158462,0.7022340851144764,False,0
1,5,Kelly Monaco,3,False,2.0,3.0,5.0,True,0.3219178082191781,0.3320919969435449,0.654009805162723,False,1
1,6,John O'Hurley,2,False,2.0,1.0,3.0,True,0.4954128440366973,0.5050998231393602,1.0005126671760576,False,1
1,6,Kelly Monaco,2,False,1.0,2.0,3.0,True,0.5045871559633027,0.4949001768606397,0.9994873328239424,True,0
2,1,Drew Lachey,10,False,1.0,6.0,7.0,False,0.12307692307692308,0.10054332501755804,0.2236202480944811,False,0
2,1,George Hamilton,10,False,8.0,2.0,10.0,False,0.09230769230769231,0.11486852274385467,0.20717621505154699,False,0
2,1,Giselle Fernandez,10,False,2.0,8.0,10.0,False,0.11794871794871795,0.0989322454467119,0.21688096339542984,False,0
2,1,Jerry Rice,10,False,5.0,5.0,10.0,False,0.1076923076923077,0.10112826999370655,0.20882057768601425,False,0
2,1,Kenny Mayne,10,True,9.0,10.0,19.0,True,0.06666666666666667,0.06471139033316636,0.13137805699983301,True,0
2,1,Lisa Rinna,10,False,7.0,3.0,10.0,False,0.09743589743589744,0.10357620322172194,0.20101210065761937,False,0
2,1,Master P,10,False,10.0,1.0,11.0,False,0.06153846153846154,0.11542859271477733,0.1769670542532389,False,0
2,1,Stacy Keibler,10,False,4.0,7.0,11.0,False,0.11282051282051282,0.10024764909803908,0.2130681619185519,False,0
