season,week,celebrity_name,rule_type,judge_raw,judge_metric,fan_vote_mean,fan_vote_share_pct,ci_low,ci_high,abc_accept_rate,feasible_min,feasible_max,slack_min,is_noisy,week_type,n_active,is_eliminated_this_week,industry_category,judge_variance,prior_fan_bias,sigma_j,adaptive_k,mean,std,cv_j,dynamic_k,damped_f,adj_fan_share,arhm_total_score,arhm_rank,original_rank
1,1,Evander Holyfield,rank,18.0,4.0,3.503,16.654662925153616,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Sports,1.0,0.0153950684899268,2.714160398109638,0.984838346208612,18.166666666666668,2.714160398109638,0.14940332466658557,0.48074719690439244,0.07702291437615391,0.1648890927100529,0.165013353694476,5.0,5.0
1,1,Joey McIntyre,rank,20.0,1.0,3.4951,16.686270120212118,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Music,0.5773502691896258,-0.0084150342504085,2.714160398109638,0.9916551876314856,18.166666666666668,2.714160398109638,0.14940332466658557,0.48407482668079643,0.07767748180519855,0.16629037738445024,0.17488830795828017,3.0,3.0
1,1,John O'Hurley,rank,20.0,1.0,3.4962,16.681865526332356,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Entertainment,0.5773502691896258,0.0,2.714160398109638,1.0,18.166666666666668,2.714160398109638,0.14940332466658557,0.488148332927076,0.07828631855675706,0.16759376275211818,0.17554000064211414,1.0,1.0
1,1,Kelly Monaco,rank,13.0,6.0,3.4975,16.676661596143465,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Entertainment,0.5773502691896258,0.0,2.714160398109638,1.0,18.166666666666668,2.714160398109638,0.14940332466658557,0.488148332927076,0.07826282823005179,0.16754347513720166,0.1434047650915366,6.0,6.0
1,1,Rachel Hunter,rank,20.0,1.0,3.5015,16.660659683158343,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Fashion,0.5773502691896258,8.462785579956e-06,2.714160398109638,0.9999915372860384,18.166666666666668,2.714160398109638,0.14940332466658557,0.48814420186736357,0.0781899562995349,0.1673874723865361,0.17543685545932308,2.0,2.0
1,1,Trista Sutter,rank,18.0,4.0,3.5067,16.639880149000096,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Media,0.0,-0.005577306450457,2.714160398109638,0.9944536273693924,18.166666666666668,2.714160398109638,0.14940332466658557,0.4854408803736525,0.07768002398417745,0.16629581962964093,0.16571671715427,4.0,4.0
1,2,Evander Holyfield,rank,14.0,6.0,1.899308983218164,23.544058943570104,1.0,3.0,0.1013,1.0,4.0,0.0,False,single_elimination,6,False,Sports,0.5773502691896258,0.0153950684899268,4.445971959725642,0.4175926384147255,20.166666666666668,4.445971959725642,0.2204614194905277,0.14493590272878384,0.03355449268090664,0.23352951182768267,0.17461599558326282,3.0,3.0
1,2,Joey McIntyre,rank,21.0,3.0,3.409674234945706,16.385320688919283,1.0,5.0,0.1013,1.0,6.0,0.0,False,single_elimination,6,False,Music,1.0,-0.0084150342504085,4.445971959725642,0.4188134002849334,20.166666666666668,4.445971959725642,0.2204614194905277,0.14535959847291177,0.023538421267179453,0.1638205673378172,0.16868714317304084,5.0,5.0
1,2,John O'Hurley,rank,26.0,1.0,3.684106614017769,15.34089415088659,1.0,6.0,0.1013,1.0,6.0,0.0,False,single_elimination,6,False,Entertainment,0.5773502691896257,0.0,4.445971959725642,0.4202946569784291,20.166666666666668,4.445971959725642,0.2204614194905277,0.14587370541900127,0.022131609915651405,0.1540295694145218,0.18445280123618651,1.0,1.0
1,2,Kelly Monaco,rank,17.0,5.0,2.588351431391905,19.955470712376403,1.0,4.0,0.1013,1.0,5.0,0.0,False,single_elimination,6,False,Entertainment,0.5773502691896258,0.0,4.445971959725642,0.4202946569784291,20.166666666666668,4.445971959725642,0.2204614194905277,0.14587370541900127,0.028694141697273728,0.1997028823115447,0.1700993750400699,4.0,4.0
