season,week,celebrity_name,rule_type,judge_raw,judge_metric,fan_vote_mean,fan_vote_share_pct,ci_low,ci_high,abc_accept_rate,feasible_min,feasible_max,slack_min,is_noisy,week_type,n_active,is_eliminated_this_week,industry_category,judge_variance,prior_fan_bias,sigma_j,adaptive_k,judge_rank_ref,cv_j,dynamic_k,p_j,damped_f,p_f_adj,arhm_total_score,arhm_rank
1,1,Evander Holyfield,rank,18.0,4.0,3.503,16.654662925153616,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Sports,1.0,0.0153950684899268,2.714160398109638,0.984838346208612,4.5,0.14940332466658557,0.5582153827214649,0.1651376146788991,0.08889774619886419,0.1648994990373791,0.1650185568581391,5.0
1,1,Joey McIntyre,rank,20.0,1.0,3.4951,16.686270120212118,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Music,0.5773502691896258,-0.0084150342504085,2.714160398109638,0.9916551876314856,2.0,0.14940332466658557,0.5620792307920343,0.1834862385321101,0.08964878315232384,0.16629262341543716,0.17488943097377363,3.0
1,1,John O'Hurley,rank,20.0,1.0,3.4962,16.681865526332356,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Entertainment,0.5773502691896258,0.0,2.714160398109638,1.0,2.0,0.14940332466658557,0.5668091467705926,0.1834862385321101,0.09034728467455956,0.16758829800808492,0.17553726827009752,1.0
1,1,Kelly Monaco,rank,13.0,6.0,3.4975,16.676661596143465,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Entertainment,0.5773502691896258,0.0,2.714160398109638,1.0,6.0,0.14940332466658557,0.5668091467705926,0.11926605504587157,0.090320336035576,0.1675383100471057,0.14340218254648862,6.0
1,1,Rachel Hunter,rank,20.0,1.0,3.5015,16.660659683158343,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Fashion,0.5773502691896258,8.462785579956e-06,2.714160398109638,0.9999915372860384,2.0,0.14940332466658557,0.5668043500269127,0.1834862385321101,0.09023673510049231,0.1673832357859032,0.17543473715900665,2.0
1,1,Trista Sutter,rank,18.0,4.0,3.5067,16.639880149000096,1.0,6.0,1.0,1.0,6.0,0.0,False,no_elimination,6,False,Media,0.0,-0.005577306450457,2.714160398109638,0.9944536273693924,4.5,0.14940332466658557,0.5636654120321661,0.1651376146788991,0.08965169985400043,0.16629803370608992,0.1657178241924945,4.0
1,2,Evander Holyfield,rank,14.0,6.0,1.899308983218164,23.544058943570104,1.0,3.0,0.1013,1.0,4.0,0.0,False,single_elimination,6,False,Sports,0.5773502691896258,0.0153950684899268,4.445971959725642,0.4175926384147255,6.0,0.2204614194905277,0.18068460798513997,0.11570247933884298,0.04166051384638258,0.2333046614312977,0.17450357038507033,3.0
1,2,Joey McIntyre,rank,21.0,3.0,3.409674234945706,16.385320688919283,1.0,5.0,0.1013,1.0,6.0,0.0,False,single_elimination,6,False,Music,1.0,-0.0084150342504085,4.445971959725642,0.4188134002849334,3.0,0.2204614194905277,0.1812128090587965,0.17355371900826447,0.02926001964317069,0.16386017228435623,0.16870694564631034,5.0
1,2,John O'Hurley,rank,26.0,1.0,3.684106614017769,15.34089415088659,1.0,6.0,0.1013,1.0,6.0,0.0,False,single_elimination,6,False,Entertainment,0.5773502691896257,0.0,4.445971959725642,0.4202946569784291,1.0,0.2204614194905277,0.18185372142259118,0.21487603305785125,0.027515927588365494,0.15409301463834765,0.18448452384809944,1.0
1,2,Kelly Monaco,rank,17.0,5.0,2.588351431391905,19.955470712376403,1.0,4.0,0.1013,1.0,5.0,0.0,False,single_elimination,6,False,Entertainment,0.5773502691896258,0.0,4.445971959725642,0.4202946569784291,5.0,0.2204614194905277,0.18185372142259118,0.14049586776859505,0.03564680175432394,0.1996270388086745,0.17006145328863476,4.0
