season,week,celebrity_name,rule_type,judge_raw,judge_metric,fan_vote_mean,fan_vote_share_pct,ci_low,ci_high,abc_accept_rate,feasible_min,feasible_max,slack_min,is_noisy,week_type,n_active,is_eliminated_this_week
1,1,Evander Holyfield,rank,18.0,3.0,2.9926,20.04442156581227,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,1,Joey McIntyre,rank,20.0,1.0,3.0035,19.97898335707369,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,1,John O'Hurley,rank,20.0,2.0,3.004,19.975986734322458,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,1,Kelly Monaco,rank,13.0,5.0,2.994,20.03600467642513,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,1,Trista Sutter,rank,18.0,4.0,3.0059,19.96460366636645,1.0,5.0,1.0,1.0,5.0,0.0,False,no_elimination,5,False
1,2,Evander Holyfield,rank,14.0,5.0,1.4561170212765957,30.027655516912727,1.0,2.0,0.0752,1.0,3.0,0.0,False,single_elimination,5,False
1,2,Joey McIntyre,rank,21.0,2.0,3.113031914893617,18.26605354188985,1.0,4.0,0.0752,1.0,5.0,0.0,False,single_elimination,5,False
1,2,John O'Hurley,rank,26.0,1.0,3.297872340425532,17.280733524992502,1.0,5.0,0.0752,1.0,5.0,0.0,False,single_elimination,5,False
1,2,Kelly Monaco,rank,17.0,4.0,2.24468085106383,23.701768334944816,1.0,3.0,0.0752,1.0,4.0,0.0,False,single_elimination,5,False
1,2,Trista Sutter,rank,19.0,3.0,4.888297872340425,10.723789081260108,4.0,5.0,0.0752,3.0,5.0,0.0,False,single_elimination,5,True
1,3,Evander Holyfield,rank,13.0,4.0,2.9921963677639045,20.376020475299853,1.0,4.0,0.7048,1.0,4.0,0.0,False,single_elimination,4,True
1,3,Joey McIntyre,rank,22.0,2.0,2.394438138479001,25.879781693578423,1.0,4.0,0.7048,1.0,4.0,0.0,False,single_elimination,4,False
